image_id,description,topic_fit,out_name
51807789,Young hispanic woman holding a burger isolated on white background celebrating a victory in winner position,0.700819,51807789_voice9_0.700819.wav
84925404,"Adorable excited female with overjoyed expression, rejoices her success, keeps fists raised, dressed in casual clothing, isolated over white",0.702065,84925404_voice3_0.702065.wav
36312817,"Young caucasian woman wearing bikini and summer hat puffing cheeks with funny face. mouth inflated with air, crazy expression.",0.70211,36312817_voice2_0.70211.wav
5952825,"Discouraged indian or arabian confused curly-haired young man, emotionally gesturing with his hands, looking inquiringly at the camera, stan",0.702136,5952825_voice2_0.702136.wav
10771764,Photo of attractive young happy man hold hands tickets winner vacation isolated on blue color background,0.70323,10771764_voice3_0.70323.wav
48647732,"Young caucasian man holding beer isolated on white background showing fist to camera, aggressive facial expression.",0.703469,48647732_voice5_0.703469.wav
93779145,Beautiful caucasian teenager girl wearing casual clothes and glasses pointing fingers to camera with happy and funny face. good energy and v,0.703984,93779145_voice9_0.703984.wav
10533981,Photo of young excited man happy positive smile hold smartphone fists hand rejoice win victory isolated over blue color background,0.704244,10533981_voice6_0.704244.wav
33927637,"Young mixed race woman holding a cooler isolated on pink background raising fist after a victory, winner concept.",0.704962,33927637_voice8_0.704962.wav
84307564,Yes finally I did it. Excited dark skinned young woman with curly hair clenches fists celebrates something awesome smiles broadly wears casu,0.70517,84307564_voice9_0.70517.wav
98948135,young black man looks surprised while making a phone call,0.705494,98948135_voice2_0.705494.wav
13775067,Full body photo of amazed happy excited young woman hold hands bags customer isolated on red color background,0.706138,13775067_voice1_0.706138.wav
40743259,"Young cleaner hispanic woman isolated on blue background receiving a pleasant surprise, excited and raising hands.",0.706675,40743259_voice1_0.706675.wav
37910355,Young hispanic woman wearing casual clothes touching mouth with hand with painful expression because of toothache or dental illness on teeth,0.707176,37910355_voice0_0.707176.wav
43490655,"Young chef caucasian woman holding a spaghettis jar isolated on pink background receiving a pleasant surprise, excited and raising hands.",0.708039,43490655_voice9_0.708039.wav
43490657,"Young chef caucasian woman holding a chickpeas jar isolated on pink background receiving a pleasant surprise, excited and raising hands.",0.708061,43490657_voice1_0.708061.wav
101463770,Portrait of happy lucky woman got surprised and saying Oh My God. Positive emotions and surprised face expression,0.708469,101463770_voice7_0.708469.wav
57675387,Young hispanic man wearing summer hat smiling positive doing ok sign with hand and fingers. successful expression.,0.709077,57675387_voice9_0.709077.wav
4605534,Photo of young african girl happy positive smile rejoice victory fists hands isolated over red color background,0.70915,4605534_voice6_0.70915.wav
34344725,Photo of shiny excited young lady wear pink singlet arms cheeks smiling isolated blue color background,0.709159,34344725_voice2_0.709159.wav
39222371,"Young brunette woman with curly hair wearing casual clothes smiling funny doing claw gesture as cat, aggressive and sexy expression",0.709404,39222371_voice3_0.709404.wav
92959229,Man holding many bills with surprise and shocked facial expression on isolated white background,0.709625,92959229_voice0_0.709625.wav
37032601,"Young mixed race indian woman isolated raising fist, feeling happy and successful. Victory concept.",0.70977,37032601_voice8_0.70977.wav
41230025,"Young caucasian woman celebrating Christmas isolated on yellow background showing fist to camera, aggressive facial expression.",0.709865,41230025_voice8_0.709865.wav
36344765,"Young african american woman using smartphone holding usa dollars winking looking at the camera with sexy expression, cheerful and happy fac",0.709963,36344765_voice0_0.709963.wav
33280504,"Young asian woman wearing a crown isolated showing fist to camera, aggressive facial expression.",0.710756,33280504_voice6_0.710756.wav
38833420,"Young hispanic woman holding a NFT placard isolated on pink background showing fist to camera, aggressive facial expression.",0.710777,38833420_voice7_0.710777.wav
34084871,Young chinese shopkeeper woman wearing apron and glasses over isolated white background celebrating mad and crazy for success with arms rais,0.711097,34084871_voice8_0.711097.wav
40153852,Young caucasian seamstress woman isolated on pink background celebrating a victory in winner position,0.711369,40153852_voice4_0.711369.wav
41573520,"Young caucasian woman recycling paper isolated on white background showing fist to camera, aggressive facial expression.",0.712025,41573520_voice0_0.712025.wav
41395121,Young african afro woman wearing sleep mask standing over isolated pink background with a happy and cool smile on face. Lucky person.,0.712372,41395121_voice0_0.712372.wav
48263755,"Young caucasian chef man holding flying pan isolated on blue background showing fist to camera, aggressive facial expression.",0.712863,48263755_voice8_0.712863.wav
