image_id,description,topic_fit
3368012,"Party and celebration concept. elegant woman with red lips, glamour dress, drinking champagne and eating cake, staring surprised at camera",0.370826
40022935,"young pretty woman looking shocked and astonished, with jaw dropped in surprise when realizing something unbelievable business concept",0.530324
38970123,pretty hispanic woman looking happy and pleasantly surprised. bike helmet concept,0.546879
39106081,Image of surprised attractive woman in plaid shirt typing on cellphone,0.430586
34068173,Portrait of excited young Asian woman celebrating success with raised arms,0.388355
51184714,Thinking Business Asian woman in black suit.,0.532069
34087901,Surprised young Asian woman open shopping bags with open mouth isolated over yellow background,0.415481
40304384,Surprised happy woman looking at the smartphone on white background,0.646079
14762082,Studio portrait of twenties asian woman with surprised look holding thumbs up,0.876418
40989330,"asian young woman feeling happy, excited, surprised or shocked, smiling and astonished at something unbelievable. summer concept",0.676061
41972203,"Image of feeling excited, shock, surprise and bored. Young asian woman standing isolated on white background. Female face expressions and em",0.572142
41583516,Asian woman full body portrait on white background wearing formal business suit .,0.402528
45038911,"Smart boy in big glasses is smiling open mouth with big eyes surprised excited and shocked by new glasses, Education inspired. Gadgets poor ",0.460074
56208999,Photo of nice cute pretty sweet girlfriend in jeans denim striped shirt expressing overjoyed amazed astonished emotions on face screaming is,0.497377
43023031,Excited successful Afro American woman clenches fists celebrates success in career says yes smiles broadly wears turtleneck isolated over bl,0.356911
36178743,"Excited surprised Afro American woman has happy reaction on received gift, keeps mouth opened, says is it for me, wears pink knitted sweater",0.311019
4627880,"Happy surprised woman feels touched to receive congratulation from old friend, enjoys free calls in roaming, laughs during smartphone talk, ",0.344486
51456510,Surprised amused excited african-american woman in glittering shiny silver dress raise hands astonished pleased delighted meeting friend par,0.337076
84306154,Excited cheerful curly haired woman raises hands and exclaims happily has widely opened eyes smiles broadly wears turtleneck isolated over v,0.348121
38217260,"Enthusiastic african american woman jumps from excitement, looks surprised and thrilled, stands over white background",0.690792
97544111,Portrait of Asian man in casual white shirt shocked surprised happy when reading a book,0.30044
9039999,"The senior asian man dressing in thanksgiving season color theme, wearing orange plaid shirt and black hat standing on the green background.",0.381573
48309458,"Chinese hiker man wearing canteen using smartphone over isolated white background scared in shock with a surprise face, afraid and excited w",0.380175
34718217,Excited young Asian woman celebrating success with raised hands over white background,0.492634
35667449,Excited Asian Muslim woman celebrating victory isolated over white background,0.381566
