image_id,description,topic_fit,out_name
3368012,"Party and celebration concept. elegant woman with red lips, glamour dress, drinking champagne and eating cake, staring surprised at camera",0.370826,barktest1_voicex_0.370826.wav
40022935,"young pretty woman looking shocked and astonished, with jaw dropped in surprise when realizing something unbelievable business concept",0.530324,barktest2_voiceo_0.530324.wav
image_id,description,topic_fit,out_name
3368012,"Party and celebration concept. elegant woman with red lips, glamour dress, drinking champagne and eating cake, staring surprised at camera",0.370826,barktest1_voicey_0.370826.wav
40022935,"young pretty woman looking shocked and astonished, with jaw dropped in surprise when realizing something unbelievable business concept",0.530324,barktest2_voiceo_0.530324.wav
38970123,pretty hispanic woman looking happy and pleasantly surprised. bike helmet concept,0.546879,barktest3_voicex_0.546879.wav
39106081,Image of surprised attractive woman in plaid shirt typing on cellphone,0.430586,barktest4_voicea_0.430586.wav
34068173,Portrait of excited young Asian woman celebrating success with raised arms,0.388355,barktest5_voicee_0.388355.wav
51184714,Thinking Business Asian woman in black suit.,0.532069,barktest6_voicex_0.532069.wav
34087901,Surprised young Asian woman open shopping bags with open mouth isolated over yellow background,0.415481,barktest7_voicey_0.415481.wav
40304384,Surprised happy woman looking at the smartphone on white background,0.646079,barktest8_voiceo_0.646079.wav
14762082,Studio portrait of twenties asian woman with surprised look holding thumbs up,0.876418,barktest9_voicer_0.876418.wav
40989330,"asian young woman feeling happy, excited, surprised or shocked, smiling and astonished at something unbelievable. summer concept",0.676061,barktest10_voiceo_0.676061.wav
41972203,"Image of feeling excited, shock, surprise and bored. Young asian woman standing isolated on white background. Female face expressions and em",0.572142,barktest11_voicer_0.572142.wav
41583516,Asian woman full body portrait on white background wearing formal business suit .,0.402528,barktest12_voiceo_0.402528.wav
45038911,"Smart boy in big glasses is smiling open mouth with big eyes surprised excited and shocked by new glasses, Education inspired. Gadgets poor ",0.460074,barktest13_voicee_0.460074.wav
56208999,Photo of nice cute pretty sweet girlfriend in jeans denim striped shirt expressing overjoyed amazed astonished emotions on face screaming is,0.497377,barktest14_voicey_0.497377.wav
43023031,Excited successful Afro American woman clenches fists celebrates success in career says yes smiles broadly wears turtleneck isolated over bl,0.356911,barktest15_voicer_0.356911.wav
36178743,"Excited surprised Afro American woman has happy reaction on received gift, keeps mouth opened, says is it for me, wears pink knitted sweater",0.311019,barktest16_voicea_0.311019.wav
