"Chinese","Fitted"
"仅一个女人","woman"
"亚洲人","asian"
"成组图片","group"
"精神振作","refreshing"
"颜色描述","color"
"做","doing"
"固定机位","sitting"
"极简构图","minimalism"
"未成年学生","children"
"仅婴儿","Infants"
"俱乐部","Club"
"爵士鼓","Drums"
"电动轮椅","Electric wheelchair"
"游戏站","games"
"凉菜","cooking"
"裁缝模特","mannequin"
"网络表情","emoji"
"铁路机车","train"
"亚原子粒子","physics"
"致敬文学作品","literature"
"实时","live"
"水果蛋糕","fruitcake"
"跳栏赛跑","running"
"码头周围","docks"
"开士米绒线","yarn"
"窗花","paper"
"网线插头","cable"
"混合健身","exercise"
"织品样本","fabric"
"聚合","group"
"训练场","training"
"职业赛马骑师","jockey"
"产品设计","design"
"刮刀","spatula"
"医疗美容","Beauty Treatment"
"大肚腩","belly"
"年轻女人在化妆间里化妆","makeup"
"菲律宾文化","filipino"
"微生物","microbe"
"弄潮","waves"
"comfortably","comfort"
"冬奥会","olympics"
"定单本","order"
"春运","travel"
"登记人","register"
"颈痛","pain"
"宵禁时间","curfew"
"文职官员","offial"
"温泉池","hot spring"
"taken","take"
"双色","color"
"使用感官","sense"
"放大效果","magnify"
"数控机床","machine"
"国际体育比赛","sports"
"曼谷大众运输系统","transit"
"传球","passing"
"辞职","resign"
"indulging","indulge"
"修改系列","modify"
"媒介机器","technology"
"自助值机柜台","check-in"
"非洲雏菊","flower"
"中年伴侣","companion"
"抢断","steal"
"茶树植物","plant"
"在阿尔勒的卧室","painting"
"软帽","hat"
"轻打","tapping"
"休闲裤","casual pants"
"奶泡","milk foam"
"灌瓶室","bottling room"
"psoing","posing"
"swivel","turning"
"亚洲","Asia"
"徒步者","hiker"
"户外女科学家","scientist"
"摇头","shake head"
"旅行者","traveler"
"沙滩裤","beach pants"
"砂纸","sandpaper"
"背包客","backpacker"
"南美部落文化","indigenous"
"擦洗盆","washing"
"甜点沙司","dessert"
"肌肉萎缩症","disability"
"肱二头肌推举","weightlifting"
"光影涂鸦","graffit"
"动感单车","bicycle"
"挑战姿态","posture"
"全天候跑道","tracek"
"国际劳动节","holiday"
"威尔士柯基犬","dog"
"抗抑郁药","antidepressants"
"旅行指南","travel"
"木料堆","pile"
"路线图","road map"
"青年女人徒步旅行","young woman"
"主菜餐盘","plate"
"光谱色","spectrum"
"录像机","video recorder"
